
          ---- Aqueous concentrations vs. grid blocks at specified times ----

 
   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium
 
VARIABLES =X,       Y,      Z,      Sg,     Sl,         T,        pH,   Density_L       t_h2o      ,t_ca+2     ,t_mg+2     ,t_na+      ,t_k+       ,t_fe+2     ,t_sio2(aq) ,t_hco3-    ,t_so4-2    ,t_alo2-    ,t_cl-      ,
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4101E+01  0.9648E+00  0.5267E+02  0.1983E+00  0.4451E-01  0.2910E+01  0.1508E-01  0.8132E-10  0.8675E-12  0.9015E+00  0.8671E-02  0.1016E-11  0.3384E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7019E+01  0.9555E+00  0.5304E+02  0.1980E+00  0.4317E-01  0.1745E+01  0.1528E-01  0.1632E-17  0.8789E-12  0.4587E-02  0.7989E-02  0.1030E-11  0.2225E+01
ZONE T= "0.171119E-02 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4203E+01  0.9648E+00  0.5267E+02  0.1992E+00  0.4531E-01  0.2983E+01  0.1508E-01  0.6140E-10  0.8674E-12  0.9000E+00  0.8669E-02  0.1016E-11  0.3457E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7018E+01  0.9555E+00  0.5304E+02  0.1980E+00  0.4316E-01  0.1745E+01  0.1528E-01  0.1499E-17  0.8788E-12  0.4587E-02  0.7989E-02  0.1029E-11  0.2225E+01
ZONE T= "0.285199E-02 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4345E+01  0.9648E+00  0.5267E+02  0.2007E+00  0.4681E-01  0.2985E+01  0.1508E-01  0.2497E-10  0.8671E-12  0.9053E+00  0.8666E-02  0.1016E-11  0.3459E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7016E+01  0.9555E+00  0.5304E+02  0.1980E+00  0.4316E-01  0.1744E+01  0.1528E-01  0.1287E-17  0.8787E-12  0.4589E-02  0.7988E-02  0.1029E-11  0.2225E+01
ZONE T= "0.342239E-02 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4399E+01  0.9648E+00  0.5267E+02  0.2014E+00  0.4752E-01  0.2984E+01  0.1507E-01  0.1530E-10  0.8670E-12  0.9080E+00  0.8664E-02  0.1016E-11  0.3458E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7016E+01  0.9555E+00  0.5304E+02  0.1980E+00  0.4315E-01  0.1744E+01  0.1527E-01  0.1187E-17  0.8786E-12  0.4590E-02  0.7988E-02  0.1029E-11  0.2224E+01
ZONE T= "0.547582E-02 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4538E+01  0.9648E+00  0.5267E+02  0.2036E+00  0.4988E-01  0.2979E+01  0.1506E-01  0.3465E-11  0.8665E-12  0.9167E+00  0.8657E-02  0.1015E-11  0.3453E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7013E+01  0.9556E+00  0.5304E+02  0.1979E+00  0.4314E-01  0.1744E+01  0.1527E-01  0.1017E-17  0.8783E-12  0.4592E-02  0.7988E-02  0.1029E-11  0.2224E+01
ZONE T= "0.570398E-02 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4551E+01  0.9648E+00  0.5267E+02  0.2039E+00  0.5013E-01  0.2979E+01  0.1506E-01  0.2852E-11  0.8664E-12  0.9177E+00  0.8657E-02  0.1015E-11  0.3452E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7013E+01  0.9556E+00  0.5304E+02  0.1979E+00  0.4314E-01  0.1744E+01  0.1527E-01  0.9833E-18  0.8783E-12  0.4593E-02  0.7988E-02  0.1029E-11  0.2224E+01
ZONE T= "0.821373E-02 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4658E+01  0.9648E+00  0.5267E+02  0.2062E+00  0.5267E-01  0.2973E+01  0.1505E-01  0.7048E-12  0.8658E-12  0.9269E+00  0.8648E-02  0.1014E-11  0.3446E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7010E+01  0.9557E+00  0.5305E+02  0.1978E+00  0.4312E-01  0.1743E+01  0.1526E-01  0.9699E-18  0.8779E-12  0.4596E-02  0.7988E-02  0.1028E-11  0.2223E+01
ZONE T= "0.912637E-02 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4687E+01  0.9648E+00  0.5267E+02  0.2069E+00  0.5351E-01  0.2971E+01  0.1505E-01  0.4698E-12  0.8656E-12  0.9299E+00  0.8645E-02  0.1014E-11  0.3444E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7008E+01  0.9557E+00  0.5305E+02  0.1978E+00  0.4311E-01  0.1743E+01  0.1526E-01  0.9686E-18  0.8777E-12  0.4597E-02  0.7988E-02  0.1028E-11  0.2222E+01
ZONE T= "0.123206E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4761E+01  0.9648E+00  0.5267E+02  0.2087E+00  0.5596E-01  0.2964E+01  0.1504E-01  0.1806E-12  0.8648E-12  0.9384E+00  0.8634E-02  0.1013E-11  0.3436E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7004E+01  0.9558E+00  0.5306E+02  0.1977E+00  0.4309E-01  0.1742E+01  0.1525E-01  0.9804E-18  0.8773E-12  0.4602E-02  0.7987E-02  0.1028E-11  0.2221E+01
ZONE T= "0.136896E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.4783E+01  0.9648E+00  0.5267E+02  0.2093E+00  0.5683E-01  0.2961E+01  0.1503E-01  0.1348E-12  0.8644E-12  0.9413E+00  0.8630E-02  0.1013E-11  0.3433E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7003E+01  0.9559E+00  0.5306E+02  0.1976E+00  0.4308E-01  0.1741E+01  0.1525E-01  0.9869E-18  0.8771E-12  0.4604E-02  0.7987E-02  0.1027E-11  0.2221E+01
ZONE T= "0.164275E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.947   0.053  0.1200E+03  0.4813E+01  0.9648E+00  0.5267E+02  0.2099E+00  0.5818E-01  0.2954E+01  0.1502E-01  0.9580E-13  0.8637E-12  0.9455E+00  0.8620E-02  0.1012E-11  0.3427E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.6999E+01  0.9560E+00  0.5306E+02  0.1976E+00  0.4306E-01  0.1740E+01  0.1524E-01  0.1002E-17  0.8767E-12  0.4607E-02  0.7987E-02  0.1027E-11  0.2220E+01
ZONE T= "0.205343E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.947   0.053  0.1200E+03  0.4837E+01  0.9648E+00  0.5267E+02  0.2100E+00  0.5958E-01  0.2945E+01  0.1500E-01  0.7460E-13  0.8626E-12  0.9493E+00  0.8606E-02  0.1010E-11  0.3416E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.6994E+01  0.9561E+00  0.5307E+02  0.1974E+00  0.4303E-01  0.1739E+01  0.1523E-01  0.1025E-17  0.8761E-12  0.4613E-02  0.7986E-02  0.1026E-11  0.2218E+01
ZONE T= "0.205343E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.947   0.053  0.1200E+03  0.4837E+01  0.9648E+00  0.5267E+02  0.2100E+00  0.5958E-01  0.2945E+01  0.1500E-01  0.7459E-13  0.8625E-12  0.9494E+00  0.8605E-02  0.1010E-11  0.3416E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.6994E+01  0.9561E+00  0.5307E+02  0.1974E+00  0.4303E-01  0.1739E+01  0.1523E-01  0.1025E-17  0.8761E-12  0.4613E-02  0.7986E-02  0.1026E-11  0.2218E+01
ZONE T= "0.246412E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.947   0.053  0.1200E+03  0.4851E+01  0.9648E+00  0.5267E+02  0.2098E+00  0.6067E-01  0.2935E+01  0.1498E-01  0.6485E-13  0.8614E-12  0.9520E+00  0.8590E-02  0.1009E-11  0.3406E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.6988E+01  0.9563E+00  0.5308E+02  0.1973E+00  0.4300E-01  0.1738E+01  0.1522E-01  0.1048E-17  0.8755E-12  0.4619E-02  0.7986E-02  0.1025E-11  0.2217E+01
ZONE T= "0.273791E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.947   0.053  0.1200E+03  0.4856E+01  0.9648E+00  0.5267E+02  0.2094E+00  0.6120E-01  0.2929E+01  0.1496E-01  0.6250E-13  0.8606E-12  0.9529E+00  0.8580E-02  0.1008E-11  0.3399E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.6985E+01  0.9563E+00  0.5308E+02  0.1972E+00  0.4298E-01  0.1737E+01  0.1521E-01  0.1065E-17  0.8750E-12  0.4623E-02  0.7986E-02  0.1025E-11  0.2215E+01
ZONE T= "0.342239E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.946   0.054  0.1200E+03  0.4860E+01  0.9648E+00  0.5267E+02  0.2082E+00  0.6225E-01  0.2913E+01  0.1493E-01  0.5988E-13  0.8586E-12  0.9543E+00  0.8555E-02  0.1006E-11  0.3382E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.6975E+01  0.9566E+00  0.5310E+02  0.1970E+00  0.4293E-01  0.1735E+01  0.1520E-01  0.1109E-17  0.8740E-12  0.4634E-02  0.7985E-02  0.1024E-11  0.2213E+01
ZONE T= "0.410687E-01 yr"  F=POINT
      0.017      0.017    -0.062   0.946   0.054  0.1200E+03  0.4860E+01  0.9648E+00  0.5267E+02  0.2068E+00  0.6317E-01  0.2898E+01  0.1490E-01  0.5870E-13  0.8567E-12  0.9551E+00  0.8531E-02  0.1004E-11  0.3366E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.6966E+01  0.9568E+00  0.5311E+02  0.1968E+00  0.4288E-01  0.1733E+01  0.1518E-01  0.1158E-17  0.8730E-12  0.4644E-02  0.7984E-02  0.1023E-11  0.2210E+01
