TIME AND DATE  "02:19:19 at 01/16/2022  "  
 The data were extracted from the co2d_tim.dat file
VARIABLES =  Time(yr)  ,      Sg    ,      Sl    ,   T(C)     ,    pH      ,    SMco2   ,  Porosity  ,  Perm(m^2) , t_h2o      , t_ca+2     , t_mg+2     , t_na+      , t_k+       , t_fe+2     , t_sio2(aq) , t_hco3-    , t_so4-2    , t_alo2-    , t_cl-      , calcite    , magnesite  , quartz     , kaolinite  , dolomite-2 , oligoclase , smectite-n , k-feldspar , chlorite   , pyrite-2   , co2(g)     , chg.bal.(e , chg.bal.(1 ,            
ZONE T= "A1  1"  F=POINT
     0.821373E-02 0.9044E-01 0.9096E+00 120.000   4.949 -0.1157E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1927E-01  0.1028E-01  0.1076E-04  0.9437E-11  0.3487E-13  0.3228E-04  0.1314E+01  0.9436E-11  0.1076E-04  0.9437E-11 -0.2995E-03  0.7822E-11  0.0000E+00  0.5808E-14 -0.5970E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1039E-04  0.0000E+00
     0.834370E-02 0.9044E-01 0.9096E+00 120.000   4.949 -0.1158E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1928E-01  0.1029E-01  0.1093E-04  0.9437E-11  0.3483E-13  0.3278E-04  0.1314E+01  0.9436E-11  0.1093E-04  0.9437E-11 -0.2995E-03  0.8040E-11  0.0000E+00  0.6609E-14 -0.5974E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1039E-04  0.0000E+00
     0.938309E-02 0.9044E-01 0.9096E+00 120.000   4.950 -0.1160E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1931E-01  0.1033E-01  0.1228E-04  0.9437E-11  0.3461E-13  0.3683E-04  0.1314E+01  0.9436E-11  0.1228E-04  0.9437E-11 -0.2994E-03  0.9795E-11  0.0000E+00  0.1577E-13 -0.5995E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1045E-04  0.0000E+00
     0.104225E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1162E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1932E-01  0.1034E-01  0.1362E-04  0.9437E-11  0.3452E-13  0.4087E-04  0.1314E+01  0.9436E-11  0.1362E-04  0.9437E-11 -0.2992E-03  0.1156E-10  0.0000E+00  0.3119E-13 -0.6005E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1050E-04  0.0000E+00
     0.114619E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1162E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1933E-01  0.1035E-01  0.1497E-04  0.9437E-11  0.3448E-13  0.4492E-04  0.1314E+01  0.9436E-11  0.1497E-04  0.9437E-11 -0.2990E-03  0.1333E-10  0.0000E+00  0.5513E-13 -0.6011E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1055E-04  0.0000E+00
     0.125013E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1162E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1933E-01  0.1036E-01  0.1632E-04  0.9437E-11  0.3447E-13  0.4896E-04  0.1314E+01  0.9436E-11  0.1632E-04  0.9437E-11 -0.2987E-03  0.1510E-10  0.0000E+00  0.9038E-13 -0.6014E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1061E-04  0.0000E+00
     0.135407E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1162E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1932E-01  0.1036E-01  0.1767E-04  0.9437E-11  0.3446E-13  0.5300E-04  0.1314E+01  0.9436E-11  0.1767E-04  0.9437E-11 -0.2984E-03  0.1687E-10  0.0000E+00  0.1403E-12 -0.6016E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1066E-04  0.0000E+00
     0.145801E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1162E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1931E-01  0.1037E-01  0.1902E-04  0.9437E-11  0.3446E-13  0.5705E-04  0.1314E+01  0.9436E-11  0.1901E-04  0.9437E-11 -0.2980E-03  0.1865E-10  0.0000E+00  0.2087E-12 -0.6019E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1071E-04  0.0000E+00
     0.156194E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1162E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1930E-01  0.1037E-01  0.2036E-04  0.9437E-11  0.3447E-13  0.6109E-04  0.1314E+01  0.9436E-11  0.2036E-04  0.9437E-11 -0.2974E-03  0.2042E-10  0.0000E+00  0.3001E-12 -0.6022E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1076E-04  0.0000E+00
     0.164275E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1162E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1929E-01  0.1038E-01  0.2141E-04  0.9437E-11  0.3447E-13  0.6423E-04  0.1314E+01  0.9436E-11  0.2141E-04  0.9437E-11 -0.2969E-03  0.2180E-10  0.0000E+00  0.3905E-12 -0.6025E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1081E-04  0.0000E+00
     0.166353E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1162E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1929E-01  0.1038E-01  0.2168E-04  0.9437E-11  0.3448E-13  0.6504E-04  0.1314E+01  0.9436E-11  0.2168E-04  0.9437E-11 -0.2968E-03  0.2215E-10  0.0000E+00  0.4169E-12 -0.6026E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1082E-04  0.0000E+00
     0.176747E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1161E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1927E-01  0.1039E-01  0.2303E-04  0.9437E-11  0.3449E-13  0.6908E-04  0.1314E+01  0.9436E-11  0.2303E-04  0.9437E-11 -0.2959E-03  0.2393E-10  0.0000E+00  0.5701E-12 -0.6031E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1087E-04  0.0000E+00
     0.187141E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1161E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1925E-01  0.1040E-01  0.2437E-04  0.9437E-11  0.3450E-13  0.7312E-04  0.1314E+01  0.9436E-11  0.2437E-04  0.9437E-11 -0.2949E-03  0.2571E-10  0.0000E+00  0.7643E-12 -0.6037E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1092E-04  0.0000E+00
     0.197535E-01 0.9044E-01 0.9096E+00 120.000   4.950 -0.1160E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1922E-01  0.1041E-01  0.2572E-04  0.9437E-11  0.3452E-13  0.7716E-04  0.1314E+01  0.9436E-11  0.2572E-04  0.9437E-11 -0.2935E-03  0.2749E-10  0.0000E+00  0.1007E-11 -0.6045E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1098E-04  0.0000E+00
     0.207929E-01 0.9044E-01 0.9096E+00 120.000   4.949 -0.1160E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1919E-01  0.1043E-01  0.2707E-04  0.9437E-11  0.3454E-13  0.8121E-04  0.1314E+01  0.9435E-11  0.2707E-04  0.9437E-11 -0.2919E-03  0.2927E-10  0.0000E+00  0.1307E-11 -0.6054E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1103E-04  0.0000E+00
     0.218323E-01 0.9044E-01 0.9096E+00 120.000   4.949 -0.1159E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1915E-01  0.1045E-01  0.2842E-04  0.9437E-11  0.3456E-13  0.8525E-04  0.1314E+01  0.9435E-11  0.2841E-04  0.9437E-11 -0.2898E-03  0.3105E-10  0.0000E+00  0.1673E-11 -0.6067E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1108E-04  0.0000E+00
     0.228717E-01 0.9044E-01 0.9096E+00 120.000   4.949 -0.1158E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1909E-01  0.1048E-01  0.2976E-04  0.9437E-11  0.3460E-13  0.8929E-04  0.1314E+01  0.9435E-11  0.2976E-04  0.9437E-11 -0.2871E-03  0.3284E-10  0.0000E+00  0.2116E-11 -0.6082E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1113E-04  0.0000E+00
     0.239111E-01 0.9044E-01 0.9096E+00 120.000   4.948 -0.1156E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1903E-01  0.1051E-01  0.3111E-04  0.9437E-11  0.3464E-13  0.9333E-04  0.1314E+01  0.9435E-11  0.3111E-04  0.9437E-11 -0.2838E-03  0.3463E-10  0.0000E+00  0.2647E-11 -0.6101E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1119E-04  0.0000E+00
     0.246412E-01 0.9044E-01 0.9096E+00 120.000   4.948 -0.1155E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1897E-01  0.1054E-01  0.3205E-04  0.9437E-11  0.3468E-13  0.9616E-04  0.1314E+01  0.9435E-11  0.3205E-04  0.9437E-11 -0.2810E-03  0.3589E-10  0.0000E+00  0.3079E-11 -0.6118E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1123E-04  0.0000E+00
     0.247692E-01 0.9044E-01 0.9096E+00 120.000   4.948 -0.1155E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1896E-01  0.1054E-01  0.3222E-04  0.9437E-11  0.3468E-13  0.9666E-04  0.1314E+01  0.9435E-11  0.3222E-04  0.9437E-11 -0.2805E-03  0.3611E-10  0.0000E+00  0.3160E-11 -0.6121E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1124E-04  0.0000E+00
     0.258086E-01 0.9044E-01 0.9096E+00 120.000   4.947 -0.1153E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1886E-01  0.1059E-01  0.3357E-04  0.9437E-11  0.3475E-13  0.1007E-03  0.1314E+01  0.9435E-11  0.3356E-04  0.9437E-11 -0.2755E-03  0.3791E-10  0.0000E+00  0.3885E-11 -0.6150E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1129E-04  0.0000E+00
     0.268480E-01 0.9044E-01 0.9096E+00 120.000   4.947 -0.1151E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1874E-01  0.1065E-01  0.3491E-04  0.9437E-11  0.3482E-13  0.1047E-03  0.1314E+01  0.9435E-11  0.3491E-04  0.9437E-11 -0.2694E-03  0.3972E-10  0.0000E+00  0.4737E-11 -0.6186E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1134E-04  0.0000E+00
     0.278874E-01 0.9044E-01 0.9096E+00 120.000   4.946 -0.1148E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1859E-01  0.1073E-01  0.3626E-04  0.9437E-11  0.3492E-13  0.1088E-03  0.1314E+01  0.9435E-11  0.3626E-04  0.9437E-11 -0.2618E-03  0.4154E-10  0.0000E+00  0.5731E-11 -0.6231E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1140E-04  0.0000E+00
     0.289268E-01 0.9044E-01 0.9096E+00 120.000   4.945 -0.1145E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1841E-01  0.1083E-01  0.3761E-04  0.9437E-11  0.3503E-13  0.1128E-03  0.1314E+01  0.9435E-11  0.3760E-04  0.9437E-11 -0.2526E-03  0.4337E-10  0.0000E+00  0.6885E-11 -0.6287E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1145E-04  0.0000E+00
     0.299662E-01 0.9044E-01 0.9096E+00 120.000   4.943 -0.1141E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1819E-01  0.1095E-01  0.3895E-04  0.9437E-11  0.3517E-13  0.1169E-03  0.1314E+01  0.9435E-11  0.3895E-04  0.9437E-11 -0.2414E-03  0.4522E-10  0.0000E+00  0.8217E-11 -0.6356E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1150E-04  0.0000E+00
     0.310056E-01 0.9044E-01 0.9096E+00 120.000   4.942 -0.1136E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1793E-01  0.1109E-01  0.4030E-04  0.9437E-11  0.3534E-13  0.1209E-03  0.1314E+01  0.9435E-11  0.4029E-04  0.9437E-11 -0.2279E-03  0.4708E-10  0.0000E+00  0.9747E-11 -0.6439E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1155E-04  0.0000E+00
     0.320450E-01 0.9044E-01 0.9096E+00 120.000   4.940 -0.1131E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1762E-01  0.1126E-01  0.4164E-04  0.9437E-11  0.3553E-13  0.1249E-03  0.1313E+01  0.9434E-11  0.4164E-04  0.9437E-11 -0.2117E-03  0.4897E-10  0.0000E+00  0.1150E-10 -0.6540E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1160E-04  0.0000E+00
     0.328549E-01 0.9044E-01 0.9096E+00 120.000   4.939 -0.1126E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1734E-01  0.1142E-01  0.4269E-04  0.9437E-11  0.3570E-13  0.1281E-03  0.1313E+01  0.9434E-11  0.4269E-04  0.9437E-11 -0.1971E-03  0.5046E-10  0.0000E+00  0.1303E-10 -0.6633E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1164E-04  0.0000E+00
     0.330628E-01 0.9044E-01 0.9096E+00 120.000   4.938 -0.1125E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1726E-01  0.1147E-01  0.4296E-04  0.9437E-11  0.3574E-13  0.1289E-03  0.1313E+01  0.9434E-11  0.4296E-04  0.9437E-11 -0.1931E-03  0.5084E-10  0.0000E+00  0.1344E-10 -0.6659E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1165E-04  0.0000E+00
     0.341022E-01 0.9044E-01 0.9096E+00 120.000   4.936 -0.1119E+01  0.9709E+00  0.1003E-07  0.5231E+02  0.1685E-01  0.1172E-01  0.4431E-04  0.9436E-11  0.3599E-13  0.1329E-03  0.1313E+01  0.9434E-11  0.4430E-04  0.9436E-11 -0.1710E-03  0.5279E-10  0.0000E+00  0.1570E-10 -0.6802E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1170E-04  0.0000E+00
     0.351416E-01 0.9044E-01 0.9096E+00 120.000   4.934 -0.1111E+01  0.9708E+00  0.1003E-07  0.5231E+02  0.1638E-01  0.1201E-01  0.4565E-04  0.9436E-11  0.3625E-13  0.1370E-03  0.1313E+01  0.9434E-11  0.4564E-04  0.9436E-11 -0.1457E-03  0.5478E-10  0.0000E+00  0.1824E-10 -0.6971E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1175E-04  0.0000E+00
     0.361810E-01 0.9044E-01 0.9096E+00 120.000   4.931 -0.1104E+01  0.9708E+00  0.1003E-07  0.5231E+02  0.1586E-01  0.1234E-01  0.4700E-04  0.9436E-11  0.3653E-13  0.1410E-03  0.1313E+01  0.9434E-11  0.4699E-04  0.9436E-11 -0.1172E-03  0.5681E-10  0.0000E+00  0.2110E-10 -0.7166E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1180E-04  0.0000E+00
     0.372204E-01 0.9044E-01 0.9096E+00 120.000   4.929 -0.1097E+01  0.9708E+00  0.1003E-07  0.5231E+02  0.1529E-01  0.1273E-01  0.4834E-04  0.9436E-11  0.3682E-13  0.1450E-03  0.1313E+01  0.9434E-11  0.4833E-04  0.9436E-11 -0.8548E-04  0.5891E-10  0.0000E+00  0.2432E-10 -0.7389E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1185E-04  0.0000E+00
     0.382598E-01 0.9044E-01 0.9096E+00 120.000   4.927 -0.1090E+01  0.9708E+00  0.1003E-07  0.5231E+02  0.1469E-01  0.1316E-01  0.4969E-04  0.9436E-11  0.3709E-13  0.1491E-03  0.1313E+01  0.9434E-11  0.4968E-04  0.9436E-11 -0.5088E-04  0.6107E-10  0.0000E+00  0.2791E-10 -0.7641E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1190E-04  0.0000E+00
     0.392992E-01 0.9044E-01 0.9096E+00 120.000   4.925 -0.1084E+01  0.9708E+00  0.1003E-07  0.5231E+02  0.1405E-01  0.1364E-01  0.5103E-04  0.9436E-11  0.3734E-13  0.1531E-03  0.1313E+01  0.9434E-11  0.5102E-04  0.9436E-11 -0.1377E-04  0.6330E-10  0.0000E+00  0.3192E-10 -0.7920E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1195E-04  0.0000E+00
     0.403386E-01 0.9044E-01 0.9096E+00 120.000   4.923 -0.1080E+01  0.9708E+00  0.1002E-07  0.5231E+02  0.1340E-01  0.1417E-01  0.5238E-04  0.9436E-11  0.3755E-13  0.1571E-03  0.1313E+01  0.9433E-11  0.5237E-04  0.9436E-11  0.2539E-04  0.6563E-10  0.0000E+00  0.3637E-10 -0.8226E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1200E-04  0.0000E+00
     0.410687E-01 0.9044E-01 0.9096E+00 120.000   4.922 -0.1077E+01  0.9708E+00  0.1002E-07  0.5231E+02  0.1294E-01  0.1456E-01  0.5332E-04  0.9436E-11  0.3767E-13  0.1600E-03  0.1313E+01  0.9433E-11  0.5331E-04  0.9436E-11  0.5384E-04  0.6732E-10  0.0000E+00  0.3978E-10 -0.8455E-03  0.0000E+00  0.1107E-14  0.0000E+00  0.0000E+00  0.0000E+00  0.2478E+03 -0.1203E-04  0.0000E+00
